sampleID	plant	syncom	treatment	generation	line	sample_type	condition
g4_l1	col0	at	native	4	1	generation	col0_at
g4_l2	col0	at	native	4	2	generation	col0_at
g4_l3	col0	at	native	4	3	generation	col0_at
g4_l4	col0	at	native	4	4	generation	col0_at
g4_l6	col0	lj	non-native	4	6	generation	col0_lj
g4_l7	col0	lj	non-native	4	7	generation	col0_lj
g4_l8	col0	lj	non-native	4	8	generation	col0_lj
g4_l9	col0	lj	non-native	4	9	generation	col0_lj
g4_l10	col0	lj	non-native	4	10	generation	col0_lj
g4_l11	gifu	at	non-native	4	11	generation	gifu_at
g4_l12	gifu	at	non-native	4	12	generation	gifu_at
g4_l13	gifu	at	non-native	4	13	generation	gifu_at
g4_l14	gifu	at	non-native	4	14	generation	gifu_at
g4_l15	gifu	at	non-native	4	15	generation	gifu_at
g4_l16	gifu	lj	native	4	16	generation	gifu_lj
g4_l17	gifu	lj	native	4	17	generation	gifu_lj
g4_l18	gifu	lj	native	4	18	generation	gifu_lj
g4_l19	gifu	lj	native	4	19	generation	gifu_lj
g4_l20	gifu	lj	native	4	20	generation	gifu_lj
g5_l1	col0	at	native	5	1	generation	col0_at
g5_l2	col0	at	native	5	2	generation	col0_at
g5_l3	col0	at	native	5	3	generation	col0_at
g5_l4	col0	at	native	5	4	generation	col0_at
g5_l5	col0	at	native	5	5	generation	col0_at
g5_l6	col0	lj	non-native	5	6	generation	col0_lj
g5_l7	col0	lj	non-native	5	7	generation	col0_lj
g5_l8	col0	lj	non-native	5	8	generation	col0_lj
g5_l9	col0	lj	non-native	5	9	generation	col0_lj
g5_l10	col0	lj	non-native	5	10	generation	col0_lj
g5_l11	gifu	at	non-native	5	11	generation	gifu_at
g5_l12	gifu	at	non-native	5	12	generation	gifu_at
g5_l13	gifu	at	non-native	5	13	generation	gifu_at
g5_l15	gifu	at	non-native	5	15	generation	gifu_at
g5_l16	gifu	lj	native	5	16	generation	gifu_lj
g5_l17	gifu	lj	native	5	17	generation	gifu_lj
