line	generation	sample_type	weight	plant	syncom	condition
3	7	generation	80.29999999999995	col0	at	native
3	7	generation	81.6	col0	at	native
3	7	generation	125.5	col0	at	native
4	7	generation	19.9	col0	at	native
4	7	generation	29.19999999999999	col0	at	native
4	7	generation	33.5	col0	at	native
4	7	generation	40.10000000000001	col0	at	native
4	7	generation	50.900000000000006	col0	at	native
4	7	generation	59.4	col0	at	native
4	7	generation	73.5	col0	at	native
5	7	generation	18.900000000000006	col0	at	native
5	7	generation	32.0	col0	at	native
5	7	generation	37.400000000000006	col0	at	native
5	7	generation	47.3	col0	at	native
5	7	generation	50.5	col0	at	native
5	7	generation	57.60000000000002	col0	at	native
5	7	generation	84.4	col0	at	native
5	7	generation	102.49999999999999	col0	at	native
6	7	generation	21.599999999999966	col0	lj	non-native
6	7	generation	26.600000000000023	col0	lj	non-native
6	7	generation	28.30000000000001	col0	lj	non-native
6	7	generation	37.30000000000001	col0	lj	non-native
6	7	generation	37.80000000000001	col0	lj	non-native
6	7	generation	39.70000000000002	col0	lj	non-native
6	7	generation	42.99999999999997	col0	lj	non-native
6	7	generation	64.6	col0	lj	non-native
6	7	generation	110.6	col0	lj	non-native
7	7	generation	23.69999999999999	col0	lj	non-native
7	7	generation	37.80000000000001	col0	lj	non-native
7	7	generation	48.5	col0	lj	non-native
7	7	generation	60.900000000000006	col0	lj	non-native
7	7	generation	83.39999999999998	col0	lj	non-native
7	7	generation	108.4	col0	lj	non-native
7	7	generation	115.19999999999999	col0	lj	non-native
8	7	generation	18.60000000000001	col0	lj	non-native
8	7	generation	36.60000000000001	col0	lj	non-native
8	7	generation	40.3	col0	lj	non-native
8	7	generation	48.8	col0	lj	non-native
9	7	generation	25.60000000000001	col0	lj	non-native
9	7	generation	39.19999999999999	col0	lj	non-native
9	7	generation	52.30000000000001	col0	lj	non-native
9	7	generation	69.70000000000005	col0	lj	non-native
9	7	generation	71.3	col0	lj	non-native
9	7	generation	71.80000000000001	col0	lj	non-native
9	7	generation	92.79999999999998	col0	lj	non-native
9	7	generation	117.5	col0	lj	non-native
axenic_at	7	axenic	42.599999999999994	col0		
axenic_at	7	axenic	45.79999999999998	col0		
axenic_at	7	axenic	48.1	col0		
axenic_at	7	axenic	48.39999999999998	col0		
axenic_at	7	axenic	52.5	col0		
